feature
duration
orig_bytes
resp_bytes
orig_pkts
resp_pkts
proto_tcp
proto_udp
proto_unknown_transport
conn_state_REJ
conn_state_RSTO
conn_state_RSTR
conn_state_RSTRH
conn_state_S0
conn_state_S1
conn_state_S2
conn_state_S3
conn_state_SF
conn_state_SH
conn_state_SHR
